snum,name,level
1001,Computer Science,BS
1002,Software Engineering,BS
1003,Chemical Engineering,BS
1004,Landscape Architect,BS
1005,Computer Science,MS
1006,Applied Mathematics,MS
1007,Computer Science,PhD
1013,Computer Science,BS
1014,Software Engineering,BS
1015,Chemical Engineering,BS
1016,Landscape Architect,BS
1017,Computer Science,MS
1018,Computer Science,PhD
1019,Computer Science,PhD
1020,Computer Science,PhD
1021,Computer Science,BS
1022,Software Engineering,BS
1023,Chemical Engineering,BS
1024,Landscape Architect,BS
1025,Computer Science,MS
1026,Computer Science,PhD
1027,Computer Science,PhD
1028,Computer Science,PhD
1029,Computer Science,BS
1030,Computer Science,BS
1031,Chemical Engineering,BS
1032,Landscape Architect,BS
1033,Computer Science,MS
1034,Computer Science,PhD
1035,Computer Science,PhD
1008,Computer Science,BS
1009,Software Engineering,BS
1010,Chemical Engineering,BS
1011,Landscape Architect,BS
1012,Computer Science,MS
1036,Applied Mathematics,MS
1037,Computer Science,PhD
1038,Computer Science,BS
1039,Software Engineering,BS
1040,Chemical Engineering,BS
1041,Landscape Architect,BS
1042,Computer Science,MS
1043,Computer Science,PhD
1044,Computer Science,PhD
1045,Computer Science,PhD
1046,Computer Science,BS
1047,Software Engineering,BS
1048,Chemical Engineering,BS
1049,Landscape Architect,BS
1050,Computer Science,MS
1051,Computer Science,PhD
1052,Computer Science,PhD
1053,Computer Science,PhD
1054,Computer Science,BS
1055,Computer Science,BS
1056,Chemical Engineering,BS
1057,Landscape Architect,BS
1058,Computer Science,MS
1059,Computer Science,PhD
1060,Computer Science,PhD
1061,Computer Science,BS
1062,Software Engineering,BS
1063,Chemical Engineering,BS
1064,Landscape Architect,BS
1065,Computer Science,MS
1066,Applied Mathematics,MS
1067,Computer Science,PhD
1068,Computer Science,BS
1069,Software Engineering,BS
1070,Chemical Engineering,BS
1071,Landscape Architect,BS
1072,Computer Science,MS
1073,Computer Science,PhD
1074,Computer Science,PhD
1075,Computer Science,PhD
1076,Computer Science,BS
1077,Software Engineering,BS
1078,Chemical Engineering,BS
1079,Landscape Architect,BS
1080,Computer Science,MS
1081,Computer Science,PhD
1082,Computer Science,PhD
1083,Computer Science,PhD
1084,Computer Science,BS
1085,Computer Science,BS
1086,Chemical Engineering,BS
1087,Landscape Architect,BS
1088,Computer Science,MS
1089,Computer Science,PhD
1090,Computer Science,PhD
1091,Computer Science,BS
1092,Software Engineering,BS
1093,Chemical Engineering,BS
1094,Landscape Architect,BS
1095,Computer Science,MS
1096,Applied Mathematics,MS
1097,Computer Science,PhD
1098,Computer Science,BS
1099,Software Engineering,BS
1100,Chemical Engineering,BS
