snum,name,level
1007,Applied Mathematics,MS
1005,Applied Mathematics,BS
1001,Software Engineering,BS
1006,Software Engineering,BS
1010,Applied Mathematics,BS
1011,Applied Mathematics,BS
1012,Software Engineering,BS
1013,Software Engineering,BS
1014,Applied Mathematics,BS
1015,Applied Mathematics,BS
1016,Software Engineering,BS
1017,Applied Mathematics,BS
1018,Applied Mathematics,MS
1019,Software Engineering,BS
1020,Software Engineering,BS
1021,Applied Mathematics,BS
1022,Applied Mathematics,BS
1023,Software Engineering,BS
1024,Software Engineering,BS
1025,Applied Mathematics,BS
1026,Software Engineering,BS
1027,Applied Mathematics,MS
1028,Applied Mathematics,MS
1029,Software Engineering,BS
1030,Software Engineering,BS
1031,Applied Mathematics,BS
1032,Applied Mathematics,BS
1033,Software Engineering,BS
1034,Software Engineering,BS
1035,Applied Mathematics,MS
