snum,course_number,regtime,grade
1001,363,Fall2020,3
1002,311,Fall2020,4
1003,228,Fall2020,4
1004,363,Spring2021,3
1005,531,Spring2021,4
1006,363,Fall2020,3
1007,531,Spring2021,4
1008,363,Fall2020,3
1009,311,Fall2020,4
1010,228,Fall2020,4
1011,363,Spring2021,3
1012,531,Spring2021,4
1013,363,Fall2020,3
1014,531,Spring2021,4
1015,363,Fall2020,3
1016,311,Fall2020,4
1017,228,Fall2020,4
1018,363,Spring2021,3
1019,531,Spring2021,4
1020,363,Fall2020,3
1021,531,Spring2021,4
1022,363,Fall2020,3
1023,311,Fall2020,4
1024,228,Fall2020,4
1025,363,Spring2021,3
1026,531,Spring2021,4
1027,363,Fall2020,3
1028,531,Spring2021,4
1029,363,Fall2020,3
1030,311,Fall2020,4
1031,228,Fall2020,4
1032,363,Spring2021,3
1033,531,Spring2021,4
1034,363,Fall2020,3
1035,531,Spring2021,4
1036,363,Fall2020,3
1037,311,Fall2020,4
1038,228,Fall2020,4
1039,363,Spring2021,3
1040,531,Spring2021,4
1041,363,Fall2020,3
1042,531,Spring2021,4
1043,363,Fall2020,3
1044,311,Fall2020,4
1045,228,Fall2020,4
1046,363,Spring2021,3
1047,531,Spring2021,4
1048,363,Fall2020,3
1049,531,Spring2021,4
1050,363,Fall2020,3
1051,311,Fall2020,4
1052,228,Fall2020,4
1053,363,Spring2021,3
1054,531,Spring2021,4
1055,363,Fall2020,3
1056,531,Spring2021,4
1057,363,Fall2023,3
1058,311,Fall2022,4
1059,228,Fall2023,4
1060,363,Spring2023,3
1061,531,Spring2023,4
1062,363,Fall2022,3
1063,531,Spring2023,4
1064,363,Fall2023,3
1065,311,Fall2022,4
1066,228,Fall2023,4
1067,363,Spring2023,3
1068,531,Spring2023,4
1069,363,Fall2022,3
1070,531,Spring2023,4
1071,363,Fall2023,3
1072,311,Fall2022,4
1073,228,Fall2023,4
1074,363,Spring2023,3
1075,531,Spring2023,4
1076,363,Fall2022,3
1077,531,Spring2023,4
1078,363,Fall2023,3
1079,311,Fall2022,4
1080,228,Fall2023,4
1081,363,Spring2023,3
1082,531,Spring2023,4
1083,363,Fall2022,3
1084,531,Spring2023,4
1085,363,Fall2023,3
1086,311,Fall2022,4
1087,228,Fall2023,4
1088,363,Spring2023,3
1089,531,Spring2023,4
1090,363,Fall2022,3
1091,531,Spring2023,4
1092,363,Fall2023,3
1093,311,Fall2022,4
1094,228,Fall2023,4
1095,363,Spring2023,3
1096,531,Spring2023,4
1097,363,Fall2022,3
1098,531,Spring2023,4
1099,363,Fall2023,3
1100,311,Summer2024,4
