snum,name,level,degree_id
1001,Software Engineering,BS,43
1005,Applied Mathematics,BS,7
1006,Software Engineering,BS,43
1007,Applied Mathematics,MS,8
1010,Applied Mathematics,BS,7
1011,Applied Mathematics,BS,7
1012,Software Engineering,BS,43
1013,Software Engineering,BS,43
1014,Applied Mathematics,BS,7
1015,Applied Mathematics,BS,7
1016,Software Engineering,BS,43
1017,Applied Mathematics,BS,7
1018,Applied Mathematics,MS,8
1019,Software Engineering,BS,43
1020,Software Engineering,BS,43
1021,Applied Mathematics,BS,7
1022,Applied Mathematics,BS,7
1023,Software Engineering,BS,43
1024,Software Engineering,BS,43
1025,Applied Mathematics,BS,7
1026,Software Engineering,BS,43
1027,Applied Mathematics,MS,8
1028,Applied Mathematics,MS,8
1029,Software Engineering,BS,43
1030,Software Engineering,BS,43
1031,Applied Mathematics,BS,7
1032,Applied Mathematics,BS,7
1033,Software Engineering,BS,43
1034,Software Engineering,BS,43
1035,Applied Mathematics,MS,8
